id_song,artist,title,url,Interprète,Auteurs,Compositeurs,Année
34,Amine,J'voulais,/fr/wiki/J%27voulais,Amine,"Ahmed Ahamadi, Amine Mounder, Kore et Skalp et Leslie Bourgouin","Ahmed Ahamadi, Amine Mounder, Kore et Skalp et Leslie Bourgouin",2006
35,Amine,Sobri (Notre destin),/fr/wiki/Sobri_(Notre_destin),Leslie & Amine,"Ahmed Ahamadi, Amine Mounder, Kore et Skalp et Leslie Bourgouin","Ahmed Ahamadi, Amine Mounder, Kore et Skalp et Leslie Bourgouin",2004
36,Amir,1 + 1,/fr/wiki/1_%2B_1,Amir et Sia ,Sia et Jesse Shatkin ,,2021
37,Amir,Carrousel,/fr/wiki/Carrousel,Amir et Indila,"Amir, Indila, Jérémy Frérot, Khaled, Renaud Rebillaud et Skalpovich",,2020
38,Amir,États d'amour,/fr/wiki/%C3%89tats_d%27amour,Amir,A.Haddad - Martin Bresso - Nazim Khaled,A.Haddad - M.Bresso - R.Rebillaud,2017
39,Amir,J'ai cherché,/fr/wiki/J%27ai_cherch%C3%A9,Amir,"Amir Haddad, Johan Errami, Nazim Khaled, Tim Bergling, Martin Bresso","Amir Haddad, Johan Errami, Nazim Khaled, Tim Bergling, Martin Bresso",2016
40,Amir,La fête,/fr/wiki/La_f%C3%AAte_(Amir),Amir,"Amir Haddad, Khaled",,2020
41,Amir,Les rues de ma peine,/fr/wiki/Les_rues_de_ma_peine,Amir,A.Haddad - N.Khaled,A.Haddad - N.Khaled - E.Pradelles,2018
42,Amir,Longtemps,/fr/wiki/Longtemps,Amir,"Amir Haddad, Nazim Khaled, Assaf Tzrouya","Amir Haddad, Nazim Khaled, Assaf Tzrouya",2018
43,Amir,On dirait,/fr/wiki/On_dirait,Amir,"Amir Haddad, Nazim Khaled, Jérôme Quériaud","Nazim Khaled, Jérôme Quériaud",2016
44,Amont Marcel,Bleu blanc blond,/fr/wiki/Bleu_blanc_blond,Marcel Amont,"Hal Greene, Richard Wolfe, Jean Dréjac","Hal Greene, Richard Wolfe, Jean Dréjac",1959
45,Amont Marcel,Le mexicain,/fr/wiki/Le_mexicain,Marcel Amont,Charles Aznavour - Jacques Plante,Charles Aznavour - Jacques Plante,1962
46,Anaïs,"Mon cœur, mon amour","/fr/wiki/Mon_c%C5%93ur,_mon_amour",Anaïs,Anaïs,,2006
47,Angèle,Balance ton quoi,/fr/wiki/Balance_ton_quoi,Angèle,Angèle Van Laeken et Veence Hanao,Angèle Van Laeken et Veence Hanao,2019
48,Angèle,Bruxelles je t'aime,/fr/wiki/Bruxelles_je_t%27aime,Angèle,Angèle Van Laeken,Angèle Van Laeken,2021
49,Angèle,Démons,/fr/wiki/D%C3%A9mons,Angèle & Damso ,Angèle Van Laeken et William Kalubi Mwamba ,Angèle Van Laeken et William Kalubi Mwamba ,2021
50,Angèle,Flou,/fr/wiki/Flou,Angèle,Angèle Van Laeken et Tristan Salvati,Angèle Van Laeken et Tristan Salvati,2018
51,Angèle,Fever,/fr/wiki/Fever,Dua Lipa & Angèle,"Dua Lipa, Angèle, Caroline Ailin, Ian Kirkpatrick, Jacob Kasher Hindlin et Julia Michaels",,2020
52,Angèle,Je veux tes yeux,/fr/wiki/Je_veux_tes_yeux,Angèle,Angèle Van Laeken et Veence Hanao,Angèle Van Laeken et Veence Hanao,2018
53,Angèle,La loi de Murphy,/fr/wiki/La_loi_de_Murphy,Angèle,"Angèle Van Laeken, Matthew Irons, Veence Hanao, Tristan Salvati","Angèle Van Laeken, Matthew Irons, Veence Hanao, Tristan Salvati",2018
54,Angèle,La thune,/fr/wiki/La_thune,Angèle,"Angèle Van Laeken, Tristan Salvati","Angèle Van Laeken, Tristan Salvati",2018
55,Angèle,Oui ou non,/fr/wiki/Oui_ou_non,Angèle,Angèle,"Angèle Van Laeken, Tristan Salvati",2019
56,Angèle,Ta reine,/fr/wiki/Ta_reine,Angèle,Angèle Van Laeken,Angèle Van Laeken,2018
57,Angèle,Tout oublier,/fr/wiki/Tout_oublier,Angèle et Roméo Elvis,"Angèle Van Laeken, Roméo Van Laeken, Tristan Salvati","Angèle Van Laeken, Roméo Van Laeken, Tristan Salvati",2018
58,Angeli Ève,Avant de partir,/fr/wiki/Avant_de_partir_(Eve_Angeli),Eve Angeli,Michel Rostaing,,2000
59,Angelina,Maman me dit,/fr/wiki/Maman_me_dit,Angelina,Antoine Barrau et Barbara Pravi,Moïse Alzouma et Lionel Buzac,2019
60,Anggun,La neige au Sahara,/fr/wiki/La_neige_au_Sahara,Anggun,"Erick Benzi, Nikki Matheson",,1997
61,Anggun,Nos vies parallèles,/fr/wiki/Nos_vies_parall%C3%A8les,Anggun et Florent Pagny ,"Thierry Surgeon, Frédéric Chateau ",,2015
62,Animo,Des gens stricts,/fr/wiki/Des_gens_stricts,Animo,A. Magallon - Y.Mouille - F.Vial - J.M. Balthazar - A. Sedes,A. Magallon - Y.Mouille - F.Vial - J.M. Balthazar - A. Sedes,1987
